序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
88,桃園市,觀音區,觀音,2016/10/26,相對濕度 RH (percent),91,92,92,92,92,92,92,91,86,80,80,76,73,,72,76,85,87,89,90,91,90,90,90
89,桃園市,觀音區,觀音,2016/10/26,一氧化碳 CO (ppm),0.28,0.3,0.32,0.33,0.39,0.32,0.39,0.43,0.28,0.32,0.3,0.29,0.23,,0.17,0.16,0.17,0.21,0.18,0.21,0.29,0.42,0.39,0.57
90,桃園市,觀音區,觀音,2016/10/26,臭氧 O3 (ppb),35,23,21,18,4.8,16,13,16,37,45,56,63,59,,44,44,48,45,43,38,29,15,21,10
91,桃園市,觀音區,觀音,2016/10/26,懸浮微粒 PM 10  (μg/m 3 ),45,46,61,66,71,65,58,66,63,73,59,66,56,,46,46,38,44,43,41,53,66,79,78
92,桃園市,觀音區,觀音,2016/10/26,氮氧化物 NOx (ppb),11,15,12,14,26,16,18,21,9.3,9.2,10,9.7,14,,14,9.8,6.6,7.5,6.6,6.9,13,24,16,25
93,桃園市,觀音區,觀音,2016/10/26,風速 WIND_SPEED (m/sec),0.6,1.1,1.5,1.4,1.9,1,1.2,2.2,1.8,1.7,2.4,3,3.3,3.6,3.4,3.1,1.8,1.4,0.8,0.6,1.2,1.1,1.4,1.7
94,桃園市,觀音區,觀音,2016/10/26,溫度 AMB_TEMP (℃),26,26,26,26,26,26,26,27,28,29,29,30,30,,30,29,28,27,27,27,26,26,26,26
95,桃園市,觀音區,觀音,2016/10/26,風向 WIND_DIREC (degrees),194,229,209,218,242,202,207,206,240,251,270,269,247,261,262,262,257,254,271,165,105,83,88,100
96,桃園市,觀音區,觀音,2016/10/26,小時風速值 WS_HR (m/sec),0.3,1,1.2,1.5,1.4,1.1,1.1,1.6,1.9,1.8,1.9,2.3,2.8,3.3,2.9,2.6,2.1,1.5,0.8,0.6,1.1,1.1,1.3,1.5
97,桃園市,觀音區,觀音,2016/10/26,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
